id;adresse_email;code_statut;date_statut;code_usage_email
1;victorious outside;heighten;2025-05-29;lay
2;yippee slather;gripper energetically towards;2025-05-29;sense amid
3;space for grade;by joshingly;2025-05-29;opposite aw
4;ouch qua;congregate nor;2025-05-30;by
5;dress;glass upbeat curiously;2025-05-29;wherever hose privilege
6;menacing oh oh;mechanic;2025-05-29;since lest transom
7;atop lest save;messy loose;2025-05-29;what
8;which reprimand;per;2025-05-30;huzzah
9;intermarry unlike yogurt;redound cram without;2025-05-30;mob worriedly
10;underneath unusual;unimpressively what ouch;2025-05-29;why
